grupo_id,nombre,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol_mg,azucar_g,fibra_g,vitamina_a_mg_re,acido_ascorbico_mg,acido_folico_mg,calcio_mg,hierro_mg,potasio_mg,sodio_mg,fosforo_mg,etanol_g,indice_glucemico,carga_glucemica,contiene_gluten
19,Chile cristalino,4,pieza,64,54,20,0.9,0.1,3.9,0.0,0.0,0.1,0.0,,1.1,3.5,135.5,12.4,11.3,1.8,182.8,3.8,,0.0,,,FALSE
19,Chile cuaresmeño,2,pieza,60,50,16,0.8,0.2,3.7,0.0,0.0,0.1,0.0,,0.5,4.5,89.7,11.6,20.2,2.0,171.4,3.5,,0.0,,,FALSE
19,Chile de árbol seco,4,pieza,8,7,21,0.9,0.4,4.3,0.0,0.0,0.0,0.0,,2.1,70.9,3.7,0.0,9.5,0.3,0.0,0.0,,0.0,,,FALSE
19,Chile en escabeche,150,gramos,150,150,23,0.5,1.0,6.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,,0.0,0.0,,1434.9,,0.0,,,FALSE
19,Chile guajillo,7,gramos,7,7,21,0.8,0.6,4.0,0.0,0.0,0.0,0.0,0.0,0.6,230.1,7.0,,9.8,0.7,,0.0,,0.0,,,FALSE
19,Chile habanero,5,pieza,80,67,25,1.5,0.5,3.6,0.1,0.0,0.3,0.0,,1.1,19.8,63.2,15.5,12.1,1.6,228.5,4.7,,0.0,,,FALSE
19,Chile jalapeño,6,pieza,90,78,23,1.1,0.5,4.6,0.0,0.0,0.2,0.0,,2.2,31.3,34.7,36.8,7.8,0.5,168.3,0.8,24.3,0.0,,,FALSE
19,Chile morita,7,gramos,7,7,24,0.9,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.7,29.3,5.5,,10.5,0.5,,0.0,,0.0,,,FALSE
19,Chile mulato,8,gramos,8,8,24,0.8,0.4,5.2,0.0,0.0,0.0,0.0,0.0,0.8,227.5,8.6,,7.4,1.0,,0.0,,0.0,,,FALSE
19,Chile nacho (lata),92,gramos,92,92,19,0.3,0.9,4.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,,0.0,0.0,,975.2,,0.0,,,FALSE
19,Chile pasilla,7,gramos,7,7,27,0.9,0.7,4.1,0.0,0.0,0.0,0.0,0.0,0.6,157.6,4.8,,10.8,0.4,,0.0,,0.0,,,FALSE
19,Chile poblano,1/2,pieza,40,32,15,0.8,0.2,3.3,0.0,0.0,0.1,0.0,,0.1,5.1,116.5,7.4,9.6,1.1,108.8,2.2,,0.0,,,FALSE
19,Chile serrano,56,gramos,56,56,22,0.9,0.3,4.0,0.0,0.0,0.1,0.0,0.0,0.8,17.1,36.4,,6.7,0.2,,3.9,,0.0,,,FALSE
19,Chiles en vinagre,150,gramos,150,150,23,0.5,1.0,6.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,,0.0,0.0,,1434.9,,0.0,,,FALSE
19,Chiles secos,1,pieza,10,7,23,0.8,0.7,4.3,0.0,0.0,0.0,0.0,,0.0,124.6,5.2,0.0,6.4,0.4,0.0,0.0,,0.0,,,FALSE
19,Cilantro picado crudo,2,taza,120,120,28,2.6,0.6,4.4,0.0,0.3,0.0,0.0,,3.4,404.4,32.4,74.4,80.4,2.1,625.2,55.2,57.6,0.0,,,FALSE
19,Clavito (hongo) crudo,1,taza,75,71,28,4.3,0.4,3.8,0.0,0.0,0.0,0.0,,1.1,0.0,3.8,0.0,7.8,1.5,0.0,0.0,45.6,0.0,,,FALSE
19,Col cocida picada,1/2,taza,75,75,17,1.0,0.0,4.1,0.0,0.0,0.1,0.0,,1.4,3.0,28.1,22.5,36.0,0.1,147.0,6.0,24.8,0.0,,,FALSE
19,Col cruda picada,2,taza,140,112,27,1.4,0.2,6.0,0.0,0.0,0.2,0.0,,2.6,6.7,47.0,63.8,52.6,0.6,275.2,20.2,25.6,0.0,,,FALSE
19,Col morada cruda picada,1,taza,70,56,17,0.8,0.1,4.1,0.0,0.0,0.0,0.0,,1.2,31.4,31.9,10.1,25.2,0.4,136.1,15.1,16.8,0.0,,,FALSE
19,Colecita de Bruselas cocida,3,pieza,63,63,23,1.6,0.3,4.5,0.1,0.0,0.2,0.0,,1.6,24.6,39.1,37.8,22.6,0.8,199.5,13.2,35.3,0.0,,,FALSE
19,Coliflor cocida,1,taza,125,125,28,2.3,0.6,5.1,0.0,0.0,0.2,0.0,,2.9,1.3,55.4,55.0,20.2,0.4,177.4,18.8,40.0,0.0,,,FALSE
